epoch,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,params/beta,step
,,,,,,,,,,,0.0005,,0
0,0.3926088511943817,0.03690938651561737,0.03690938651561737,0.2664797008037567,0.21213555335998535,0.05434412509202957,0.08921974152326584,0.000559047213755548,0.000333150353981182,,,0.4962230324745178,45
,,,,,,,,,,,0.0005,,46
1,0.04910699278116226,0.01729029044508934,0.01729029044508934,0.01004696823656559,0.008165196515619755,0.001881771138869226,0.021769734099507332,0.000109992986836005,0.00010770436347229406,,,0.4952000379562378,91
,,,,,,,,,,,0.0005,,92
2,0.020031481981277466,0.010078421793878078,0.010078421793878078,0.0012497822754085064,0.0009674574248492718,0.0002823247923515737,0.008703281171619892,3.802802530117333e-05,4.9004811444319785e-05,,,0.48727506399154663,137
,,,,,,,,,,,0.0005,,138
3,0.01530468836426735,0.010130622424185276,0.010130622424185276,0.000316119083436206,0.00019304250599816442,0.0001230765919899568,0.0048579443246126175,1.2494052498368546e-05,3.6085395549889654e-05,,,0.47907501459121704,183
,,,,,,,,,,,0.0005,,184
4,0.011486566625535488,0.009707982651889324,0.009707982651889324,7.031275890767574e-05,6.207982369232923e-05,8.232947038777638e-06,0.0017082707490772009,4.328403520048596e-06,1.275430440728087e-05,,,0.4761742055416107,229
,,,,,,,,,,,0.0005,,230
5,0.011048821732401848,0.009587609209120274,0.009587609209120274,4.150660606683232e-05,3.697672946145758e-05,4.529879788606195e-06,0.0014197048731148243,3.290208496764535e-06,1.0906840543611906e-05,,,0.47464171051979065,275
,,,,,,,,,,,0.0005,,276
6,0.010879680514335632,0.009352891705930233,0.009352891705930233,3.332412597956136e-05,2.6066956706927158e-05,7.2571619966765866e-06,0.0014934658538550138,3.035446752619464e-06,1.18992165880627e-05,,,0.4728437066078186,321
,,,,,,,,,,,0.0005,,322
7,0.014314674772322178,0.00941502396017313,0.00941502396017313,4.966342748957686e-05,1.8842747522285208e-05,3.082068360527046e-05,0.004849986173212528,1.977007514142315e-06,4.652285861084238e-05,,,0.470653772354126,367
,,,,,,,,,,,0.0005,,368
8,0.012786608189344406,0.00963042862713337,0.00963042862713337,3.391656355233863e-05,1.2628318472707178e-05,2.1288242351147346e-05,0.0031222624238580465,1.5088788813955034e-06,2.971374851767905e-05,,,0.46862637996673584,413
,,,,,,,,,,,0.0005,,414
9,0.012771847657859325,0.0096421604976058,0.0096421604976058,5.65689624636434e-05,1.029348095471505e-05,4.627547605196014e-05,0.0030731158331036568,1.3194774055591552e-06,2.9411676223389804e-05,,,0.46642005443573,459
,,,,,,,,,,,0.0005,,460
10,0.011263657361268997,0.009265311993658543,0.009265311993658543,1.4780419405724388e-05,1.0031285455625039e-05,4.749131221615244e-06,0.0019835650455206633,2.0731397398776608e-06,1.7762511561159045e-05,,,0.4644818902015686,505
,,,,,,,,,,,0.0005,,506
11,0.011029878631234169,0.009388851001858711,0.009388851001858711,1.3342411875783e-05,9.610453162167687e-06,3.7319618968467694e-06,0.0016276859678328037,1.7616775949136354e-06,1.4515177099383436e-05,,,0.46175169944763184,551
,,,,,,,,,,,0.0005,,552
12,0.010770194232463837,0.009075277484953403,0.009075277484953403,1.3258806575322524e-05,9.497291102888994e-06,3.7615179735439597e-06,0.0016816563438624144,2.152882643713383e-06,1.4663682122773025e-05,,,0.4583961069583893,597
,,,,,,,,,,,0.0005,,598
13,0.010923154652118683,0.008692371658980846,0.008692371658980846,2.9703896871069446e-05,1.141943721449934e-05,1.8284457837580703e-05,0.0022010793909430504,3.913145519618411e-06,1.8097647625836544e-05,,,0.4512048363685608,643
,,,,,,,,,,,0.0005,,644
14,0.010333055630326271,0.008883006870746613,0.008883006870746613,2.9859624191885814e-05,1.5942521713441238e-05,1.3917103387939278e-05,0.0014201910234987736,3.86212832381716e-06,1.0339782420487609e-05,,,0.4388750493526459,689
,,,,,,,,,,,0.0005,,690
15,0.009733683429658413,0.008761294186115265,0.008761294186115265,1.3816087630402762e-05,1.1797924344136845e-05,2.018165787376347e-06,0.000958572665695101,3.3256910683121532e-06,6.260034751903731e-06,,,0.42364054918289185,735
,,,,,,,,,,,0.0005,,736
16,0.010177001357078552,0.008542822673916817,0.008542822673916817,1.237328615388833e-05,9.327988664153963e-06,3.0452945338765858e-06,0.0016218035016208887,2.631644065331784e-06,1.358639474347001e-05,,,0.4095495939254761,781
,,,,,,,,,,,0.0005,,782
17,0.009901660494506359,0.00825937557965517,0.00825937557965517,1.2524435078375973e-05,9.259507351089269e-06,3.2649274999130284e-06,0.00162976305000484,2.707166004256578e-06,1.3590466551249847e-05,,,0.3995794355869293,827
,,,,,,,,,,,0.0005,,828
18,0.009392526000738144,0.00836367066949606,0.00836367066949606,1.2475255971367005e-05,1.030837756843539e-05,2.166879085052642e-06,0.0010163771221414208,3.60000058208243e-06,6.563770057255169e-06,,,0.382442444562912,873
,,,,,,,,,,,0.0005,,874
19,0.008935554884374142,0.008096763864159584,0.008096763864159584,1.2201154277136084e-05,1.0582143659121357e-05,1.6190102769542136e-06,0.0008265883661806583,2.3399350084218895e-06,5.9259505178488325e-06,,,0.36434265971183777,919
,,,,,,,,,,,0.0005,,920
20,0.008770370855927467,0.00819018017500639,0.00819018017500639,9.178320397040807e-06,7.876237759774085e-06,1.3020815003983444e-06,0.0005710136028937995,2.118214752044878e-06,3.5919208585255546e-06,,,0.3485094904899597,965
,,,,,,,,,,,0.0005,,966
21,0.00872222613543272,0.008175657130777836,0.008175657130777836,8.402298590226565e-06,7.835530595912132e-06,5.667679943144321e-07,0.0005381694645620883,1.6169173022717587e-06,3.764777147807763e-06,,,0.33504393696784973,1011
,,,,,,,,,,,0.0005,,1012
22,0.008831982500851154,0.007609155029058456,0.007609155029058456,1.0403348824183922e-05,7.699518391746096e-06,2.703829522943124e-06,0.0012124223867431283,1.1024894774891436e-06,1.1021736099792179e-05,,,0.32525235414505005,1057
,,,,,,,,,,,0.0005,,1058
23,0.008286846801638603,0.007683054078370333,0.007683054078370333,8.489051651849877e-06,7.444130005751504e-06,1.0449211913510226e-06,0.0005953015061095357,1.6582234820816666e-06,4.294791324355174e-06,,,0.3165769577026367,1103
,,,,,,,,,,,0.0005,,1104
24,0.008361952379345894,0.008045612834393978,0.008045612834393978,7.000436653470388e-06,6.366122761392035e-06,6.34313948921772e-07,0.00030933698872104287,8.870757710610633e-07,2.206294766438077e-06,,,0.30694761872291565,1149
,,,,,,,,,,,0.0005,,1150
25,0.00817487109452486,0.007739021442830563,0.007739021442830563,6.811619641666766e-06,6.248596946534235e-06,5.630230930364633e-07,0.00042903778376057744,1.199343500957184e-06,3.0910346140444744e-06,,,0.29931554198265076,1195
,,,,,,,,,,,0.0005,,1196
26,0.008191575296223164,0.007917428389191628,0.007917428389191628,6.0315546761557925e-06,5.7333550103066955e-06,2.981987563543953e-07,0.00026811580755747855,7.702038260504196e-07,1.9109547793050297e-06,,,0.2922060191631317,1241
,,,,,,,,,,,0.0005,,1242
27,0.00803353637456894,0.007662482094019651,0.007662482094019651,5.94977746004588e-06,5.516435976460343e-06,4.3334222254998167e-07,0.00036510327481664717,9.498307917965576e-07,2.7012022201233776e-06,,,0.28765442967414856,1287
,,,,,,,,,,,0.0005,,1288
28,0.008055789396166801,0.007781689520925283,0.007781689520925283,5.575459454121301e-06,5.228662757872371e-06,3.467972362614091e-07,0.00026852343580685556,7.43011980830488e-07,1.9422225250309566e-06,,,0.28276532888412476,1333
,,,,,,,,,,,0.0005,,1334
29,0.00790979340672493,0.007589178625494242,0.007589178625494242,5.190545380173717e-06,4.8309052544937e-06,3.5964032463198237e-07,0.00031542411306872964,8.47806745696289e-07,2.3064335437084083e-06,,,0.27984362840652466,1379
,,,,,,,,,,,0.0005,,1380
30,0.007937473244965076,0.007648617494851351,0.007648617494851351,4.771777184942039e-06,4.487054866331164e-06,2.847224607194221e-07,0.00028408365324139595,8.243696356657892e-07,2.016467306020786e-06,,,0.2765822410583496,1425
,,,,,,,,,,,0.0005,,1426
31,0.007880140095949173,0.007586753461509943,0.007586753461509943,4.496242127061123e-06,4.15836484535248e-06,3.3787634379223164e-07,0.00028888872475363314,7.909600299171871e-07,2.0979268811061047e-06,,,0.2744952440261841,1471
,,,,,,,,,,,0.0005,,1472
32,0.007824758067727089,0.007554314564913511,0.007554314564913511,4.1603580029914156e-06,3.855535396724008e-06,3.048221230983472e-07,0.00026628022897057235,7.732692210993264e-07,1.889532995846821e-06,,,0.2725750207901001,1517
,,,,,,,,,,,0.0005,,1518
33,0.007767662405967712,0.007508071605116129,0.007508071605116129,3.861533969029551e-06,3.591366976252175e-06,2.701663106563501e-07,0.00025572991580702364,7.95283995103091e-07,1.7620151311348309e-06,,,0.27117249369621277,1563
,,,,,,,,,,,0.0005,,1564
34,0.007725520525127649,0.0074775139801204205,0.0074775139801204205,3.5722646316571627e-06,3.3079454624385107e-06,2.6431851551933505e-07,0.00024443535949103534,8.039897352318803e-07,1.6403638483097893e-06,,,0.27026304602622986,1609
,,,,,,,,,,,0.0005,,1610
