epoch,loss,loss/data,loss/ic,loss/res,loss/smma,lr,step
,,,,,,0.0005,0
0,2.0077402591705322,0.0746464878320694,0.36165982484817505,1.5714342594146729,,,45
,,,,,,0.0005,46
1,0.022550253197550774,0.01796073094010353,0.0011390182189643383,0.0034505040384829044,,,91
,,,,,,0.0005,92
2,0.018067635595798492,0.01805878058075905,1.8988104102390935e-06,6.950768238311866e-06,,,137
,,,,,,0.0005,138
3,0.018059978261590004,0.018054107204079628,6.629072686337167e-07,5.201963176659774e-06,,,183
,,,,,,0.0005,184
4,0.01805245690047741,0.018043963238596916,1.0525399147809367e-06,7.450204975611996e-06,,,229
,,,,,,0.0005,230
5,0.01803494244813919,0.018018126487731934,2.462270003888989e-06,1.4347013348015025e-05,,,275
,,,,,,0.0005,276
6,0.01800466701388359,0.017813947051763535,1.9643919586087577e-05,0.00017107708845287561,,,321
,,,,,,0.0005,322
7,0.017993522807955742,0.017894495278596878,2.0186944311717525e-05,7.883990474510938e-05,,,367
,,,,,,0.0005,368
8,0.017984896898269653,0.017834171652793884,2.9730161259067245e-05,0.00012100129970349371,,,413
,,,,,,0.0005,414
9,0.01796644739806652,0.017842674627900124,4.171281398157589e-05,8.205573249142617e-05,,,459
,,,,,,0.0005,460
10,0.017950886860489845,0.017738813534379005,6.920815212652087e-05,0.00014286258374340832,,,505
,,,,,,0.0005,506
11,0.01791282370686531,0.01771017536520958,9.718172805150971e-05,0.00010546459816396236,,,551
,,,,,,0.0005,552
12,0.017858872190117836,0.017549825832247734,0.00013765052426606417,0.00017139562987722456,,,597
,,,,,,0.0005,598
13,0.017777539789676666,0.01752336509525776,0.0001476775505580008,0.0001064958778442815,,,643
,,,,,,0.0005,644
14,0.017682678997516632,0.017338158562779427,0.00019817189604509622,0.00014634514809586108,,,689
,,,,,,0.0005,690
15,0.017582999542355537,0.017284050583839417,0.00020337705791462213,9.557638259138912e-05,,,735
,,,,,,0.0005,736
16,0.017502525821328163,0.017136717215180397,0.00025035746512003243,0.00011545081360964105,,,781
,,,,,,0.0005,782
17,0.017409376800060272,0.01706826128065586,0.000258399173617363,8.271606202470139e-05,,,827
,,,,,,0.0005,828
