epoch,loss,loss/Rt,loss/data,loss/res,loss/sigma,lr,step
,,,,,,0.0005,0
0,550.7949829101562,3.6905627250671387,549.3915405273438,1.4035645723342896,0.1326332539319992,,59
,,,,,,0.0005,60
1,2.9491589069366455,3.773615598678589,2.9479706287384033,0.0011878337245434523,0.10955187678337097,,119
,,,,,,0.0005,120
2,2.511489152908325,3.2996459007263184,2.5113775730133057,0.00011213658581255004,0.11280783265829086,,179
,,,,,,0.0005,180
3,2.405716896057129,3.2169222831726074,2.4056198596954346,9.712012251839042e-05,0.11435958743095398,,239
,,,,,,0.0005,240
4,2.3025014400482178,3.1587252616882324,2.302429437637329,7.221566193038598e-05,0.10874912887811661,,299
,,,,,,0.0005,300
5,2.280221462249756,3.0713798999786377,2.2801804542541504,4.112920578336343e-05,0.10542182624340057,,359
,,,,,,0.0005,360
6,2.271010637283325,2.947963237762451,2.271000385284424,1.0564997865003534e-05,0.10304097831249237,,419
,,,,,,0.0005,420
7,2.267578363418579,2.853435516357422,2.267577886581421,5.942230814071081e-07,0.10141689330339432,,479
,,,,,,0.0005,480
8,2.265516519546509,2.823615550994873,2.265516519546509,3.0932874039990566e-08,0.1003846824169159,,539
,,,,,,0.0005,540
9,2.264511823654175,2.8143129348754883,2.264511823654175,1.1730012516864008e-08,0.0996626690030098,,599
,,,,,,0.0005,600
10,2.2633237838745117,2.808170795440674,2.2633237838745117,6.732383539542752e-09,0.09914150089025497,,659
,,,,,,0.0005,660
11,2.2628700733184814,2.8035788536071777,2.2628700733184814,5.187724028132834e-09,0.09851314127445221,,719
,,,,,,0.0005,720
12,2.2629311084747314,2.800245761871338,2.2629311084747314,4.871096415115517e-09,0.0979289561510086,,779
,,,,,,0.0005,780
13,2.262864828109741,2.7985036373138428,2.262864828109741,5.577444728288583e-09,0.09757169336080551,,839
,,,,,,0.0005,840
14,2.2624027729034424,2.7967476844787598,2.2624027729034424,6.6435039691725706e-09,0.09724245965480804,,899
,,,,,,0.0005,900
15,2.2624826431274414,2.7954294681549072,2.2624826431274414,8.230362169570071e-09,0.09683611989021301,,959
,,,,,,0.0005,960
16,2.262319564819336,2.7942018508911133,2.262319564819336,9.000003409198598e-09,0.09649089723825455,,1019
,,,,,,0.0005,1020
17,2.262134313583374,2.7933428287506104,2.262134313583374,1.0343091716435993e-08,0.09612780809402466,,1079
,,,,,,0.0005,1080
18,2.262218952178955,2.792459011077881,2.262218952178955,1.0442699149848522e-08,0.0957820862531662,,1139
,,,,,,0.0005,1140
19,2.2617318630218506,2.792252540588379,2.2617318630218506,1.0894671831351843e-08,0.09560305625200272,,1199
,,,,,,0.0005,1200
20,2.2614338397979736,2.791370153427124,2.2614336013793945,1.1370956620737616e-08,0.0953373908996582,,1259
,,,,,,0.0005,1260
21,2.2613883018493652,2.791002035140991,2.2613883018493652,1.2097853385739654e-08,0.09503111988306046,,1319
,,,,,,0.0005,1320
22,2.2612359523773193,2.7902393341064453,2.2612359523773193,1.2330623633260984e-08,0.09472291171550751,,1379
,,,,,,0.0005,1380
23,2.261305093765259,2.789872407913208,2.261305093765259,1.3341740157102322e-08,0.09437866508960724,,1439
,,,,,,0.0005,1440
24,2.2613108158111572,2.789285182952881,2.2613108158111572,1.3063477410923952e-08,0.09406287968158722,,1499
,,,,,,0.0005,1500
25,2.2612953186035156,2.7891321182250977,2.2612953186035156,1.409511973804456e-08,0.0937754213809967,,1559
,,,,,,0.0005,1560
26,2.2611536979675293,2.788665294647217,2.2611536979675293,1.3427783329689191e-08,0.09351122379302979,,1619
,,,,,,0.0005,1620
27,2.2610700130462646,2.7885117530822754,2.2610700130462646,1.5068469139123408e-08,0.09324109554290771,,1679
,,,,,,0.0005,1680
28,2.260944128036499,2.788022518157959,2.260944128036499,1.3920799624145275e-08,0.09296873211860657,,1739
,,,,,,0.0005,1740
29,2.2609214782714844,2.7878551483154297,2.2609214782714844,1.637054047876063e-08,0.09268631041049957,,1799
,,,,,,0.0005,1800
30,2.260838747024536,2.7873411178588867,2.260838747024536,1.4624940369856176e-08,0.09240444004535675,,1859
,,,,,,0.0005,1860
31,2.260847330093384,2.787155866622925,2.260847330093384,1.6824959203631806e-08,0.09211429953575134,,1919
,,,,,,0.0005,1920
32,2.2607741355895996,2.7866368293762207,2.2607741355895996,1.582444575376485e-08,0.09182853251695633,,1979
,,,,,,0.0005,1980
33,2.2608156204223633,2.786405563354492,2.2608156204223633,1.6834436067370007e-08,0.09153279662132263,,2039
,,,,,,0.0005,2040
34,2.260740280151367,2.7859010696411133,2.260740280151367,1.7607776570116584e-08,0.09125296026468277,,2099
,,,,,,0.0005,2100
35,2.2607758045196533,2.785654306411743,2.2607758045196533,1.8308247362597285e-08,0.09096106141805649,,2159
,,,,,,0.0005,2160
36,2.2607030868530273,2.7851243019104004,2.2607030868530273,1.9673148443644095e-08,0.0906875729560852,,2219
,,,,,,0.0005,2220
37,2.260715961456299,2.7848167419433594,2.260715961456299,2.080698280337856e-08,0.090400829911232,,2279
,,,,,,0.0005,2280
38,2.260679244995117,2.784238338470459,2.260679244995117,2.264471277158009e-08,0.09012386202812195,,2339
,,,,,,0.0005,2340
39,2.2606873512268066,2.783785581588745,2.2606873512268066,2.3643007551754636e-08,0.08984116464853287,,2399
,,,,,,0.0005,2400
40,2.2606520652770996,2.782968759536743,2.2606520652770996,2.5042478313253014e-08,0.08955887705087662,,2459
,,,,,,0.0005,2460
41,2.260697841644287,2.7821781635284424,2.260697841644287,2.5057692809582477e-08,0.08927012234926224,,2519
,,,,,,0.0005,2520
