epoch,loss,loss/Rt,loss/data,loss/ic,loss/res,loss/sigma,lr,step
65,1.796590805053711,2.785245418548584,1.7965449094772339,4.60409683000762e-05,2.1882239309434226e-07,0.3359692096710205,,3959
,,,,,,,0.0005,3960
66,1.7995213270187378,2.7830142974853516,1.799473762512207,4.819557216251269e-05,1.2866834708802344e-08,0.3626420199871063,,4019
,,,,,,,0.0005,4020
67,1.7875304222106934,2.7833099365234375,1.787482738494873,4.795540735358372e-05,1.3193605319372637e-08,0.38073989748954773,,4079
,,,,,,,0.0005,4080
68,1.7848995923995972,2.783890724182129,1.7848509550094604,4.856801388086751e-05,2.582127045513971e-08,0.3424636721611023,,4139
,,,,,,,0.0005,4140
69,1.799972653388977,2.784071922302246,1.799923062324524,4.955737676937133e-05,6.056758650174743e-08,0.33009573817253113,,4199
,,,,,,,0.0005,4200
70,1.7850130796432495,2.785130500793457,1.7849624156951904,5.076517481938936e-05,1.1276427613893247e-07,0.3320640027523041,,4259
,,,,,,,0.0005,4260
71,1.7917994260787964,2.7840044498443604,1.7917485237121582,5.1708670071093366e-05,6.169280908352448e-08,0.2939532399177551,,4319
,,,,,,,0.0005,4320
72,1.8009750843048096,2.7836227416992188,1.8009189367294312,5.5688036809442565e-05,3.314631769057996e-08,0.3166313171386719,,4379
,,,,,,,0.0005,4380
73,1.7855238914489746,2.7830402851104736,1.7854704856872559,5.326392420101911e-05,1.905435276228218e-08,0.320516973733902,,4439
,,,,,,,0.0005,4440
74,1.7834635972976685,2.782489538192749,1.7834070920944214,5.706467345589772e-05,2.436336998812294e-08,0.2822330892086029,,4499
,,,,,,,0.0005,4500
75,1.819301962852478,2.7830443382263184,1.8192424774169922,5.941550261923112e-05,3.5101063389220144e-08,0.30840229988098145,,4559
,,,,,,,0.0005,4560
76,1.7857149839401245,2.7833616733551025,1.7856632471084595,5.245013380772434e-05,2.801294307630542e-08,0.30511805415153503,,4619
,,,,,,,0.0005,4620
