T,I,I_obs,Rt,sigma,H_obs
0.789915966386555,32783.1445049085,32783.1445049085,0.114879,0.395527899980795,2375.13560877799
0.798319327731092,27390.2660412515,27390.2660412515,0.088723,0.394844298859435,1980.58785351191
0.80672268907563,22768.9023911562,22768.9023911562,0.069242,0.394244536999643,1638.91609458334
0.815126050420168,18864.5723720455,18864.5723720455,0.054602,0.393718494332438,1348.96428300347
0.823529411764706,15603.2012588077,15603.2012588077,0.043398,0.393257234530177,1109.94490541785
0.831932773109244,12891.8458994241,12891.8458994241,0.034564,0.392852875427714,919.467429007986
0.840336134453782,10624.0854104962,10624.0854104962,0.027293,0.392498471501323,758.99005274463
0.848739495798319,8736.51822221636,8736.51822221636,0.020983,0.392187907818907,622.397012747824
0.857142857142857,7177.6653442497,7177.6653442497,0.015218,0.391915804747707,509.149826038862
0.865546218487395,5894.45140319122,5894.45140319122,0.009812,0.391677432636597,417.710564884357
0.873949579831933,4835.7074478766,4835.7074478766,0.004912,0.391468635663419,343.588073630002
0.882352941176471,3960.69225598513,3960.69225598513,0.00119,0.39128576404145,281.107923810487
0.890756302521008,3242.63281644854,3242.63281644854,9.2e-05,0.391125613803622,229.565706614754
0.899159663865546,2656.4186881192,2656.4186881192,0.004046,0.390985373421368,188.071870344458
0.907563025210084,2179.68095137317,2179.68095137317,0.016443,0.390862576561691,154.895934781758
0.915966386554622,1794.57109561696,1794.57109561696,0.041103,0.390755060337205,127.840251534712
0.92436974789916,1487.22288323696,1487.22288323696,0.081041,0.390660928456802,106.226915328531
0.932773109243697,1244.4522460696,1244.4522460696,0.13669,0.390578518737087,89.3553379090736
0.941176470588235,1054.18805865175,1054.18805865175,0.204303,0.390506374485607,76.3949342166306
0.949579831932773,905.274812620412,905.274812620412,0.275617,0.390443219315152,66.0539252122398
0.957983193277311,787.813779229591,787.813779229591,0.339571,0.390387934993595,57.6787835443392
0.966386554621849,693.425224013585,693.425224013585,0.385698,0.390339541975527,50.8596621431643
0.974789915966387,614.979831443741,614.979831443741,0.407638,0.390297182300262,45.1867349343374
0.983193277310924,546.598565605052,546.598565605052,0.404954,0.390260104575681,40.1896155949216
0.991596638655462,484.187054563856,484.187054563856,0.382471,0.390227650798959,35.5053763579344
1,426.428853349092,426.428853349092,0.347864,0.390199244793612,0
