epoch,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,step
,,,,,,,,,,,0.0005,0
0,11966.1650390625,0.0889689102768898,0.0889689102768898,0.6710221767425537,0.1488286852836609,0.522193431854248,11965.41015625,26.85325813293457,92.80082702636719,,,45
,,,,,,,,,,,0.0005,46
1,1.1997923851013184,0.010629044845700264,0.010629044845700264,0.9293342232704163,0.003653560299426317,0.9256806373596191,0.25982946157455444,0.0012210494605824351,0.00137724494561553,,,91
,,,,,,,,,,,0.0005,92
2,0.20059342682361603,0.010033455677330494,0.010033455677330494,0.1655273288488388,5.042628004048311e-07,0.16552673280239105,0.02503269352018833,7.623149576829746e-05,0.0001740954612614587,,,137
,,,,,,,,,,,0.0005,138
3,0.02604181133210659,0.010035127401351929,0.010035127401351929,0.00021294136240612715,4.1648512194569776e-08,0.0002128996857209131,0.015793748199939728,3.029153958777897e-05,0.00012764593702740967,,,183
,,,,,,,,,,,0.0005,184
4,0.01929999701678753,0.010035736486315727,0.010035736486315727,7.761257438687608e-05,2.0054891081144888e-08,7.759253639960662e-05,0.00918664876371622,1.4632666534453165e-05,7.723380986135453e-05,,,229
,,,,,,,,,,,0.0005,230
5,0.017508314922451973,0.010036158375442028,0.010036158375442028,2.3526192308054306e-05,1.2810232874471694e-08,2.3513388441642746e-05,0.007448629941791296,9.432767910766415e-06,6.505352939711884e-05,,,275
,,,,,,,,,,,0.0005,276
6,0.01634744554758072,0.010036511346697807,0.010036511346697807,1.1592605915211607e-05,8.782045313182607e-09,1.1583824743865989e-05,0.0062993415631353855,6.4694604589021765e-06,5.6523938837926835e-05,,,321
,,,,,,,,,,,0.0005,322
7,0.01543652918189764,0.010036805644631386,0.010036805644631386,7.53328049540869e-06,6.38997343926917e-09,7.52688902139198e-06,0.005392188671976328,4.687901309807785e-06,4.923398228129372e-05,,,367
,,,,,,,,,,,0.0005,368
8,0.014806712977588177,0.010037058964371681,0.010037058964371681,4.69820997750503e-06,4.848319523631517e-09,4.69336237074458e-06,0.004764956887811422,3.5331706840224797e-06,4.411639383761212e-05,,,413
,,,,,,,,,,,0.0005,414
9,0.014254702255129814,0.01003728061914444,0.01003728061914444,3.388772256585071e-06,3.794843550508631e-09,3.384977162568248e-06,0.004214035347104073,2.739105184446089e-06,3.9401245885528624e-05,,,459
,,,,,,,,,,,0.0005,460
10,0.013854056596755981,0.01003747433423996,0.01003747433423996,2.462033535266528e-06,3.0339657453026803e-09,2.4589999156887643e-06,0.0038141210097819567,2.1627554360748036e-06,3.597845716285519e-05,,,505
,,,,,,,,,,,0.0005,506
11,0.013486494310200214,0.010037651285529137,0.010037651285529137,1.7527135014461237e-06,2.4623278971347418e-09,1.7502514992884244e-06,0.0034470923710614443,1.7305935671174666e-06,3.274033224442974e-05,,,551
,,,,,,,,,,,0.0005,552
12,0.013218694366514683,0.010037818923592567,0.010037818923592567,1.4244583326217253e-06,2.0168604564219095e-09,1.4224415281205438e-06,0.0031794521491974592,1.3926972997069242e-06,3.040182127733715e-05,,,597
,,,,,,,,,,,0.0005,598
13,0.012966077774763107,0.010037978179752827,0.010037978179752827,1.1295561535007437e-06,1.659416382082668e-09,1.1278965530436835e-06,0.0029269696678966284,1.1224393574593705e-06,2.81472566712182e-05,,,643
,,,,,,,,,,,0.0005,644
14,0.012784548103809357,0.010038132779300213,0.010038132779300213,1.0269237691318267e-06,1.3627375894387228e-09,1.0255611186948954e-06,0.0027453890070319176,8.98139774108131e-07,2.655575008247979e-05,,,689
,,,,,,,,,,,0.0005,690
15,0.012599008157849312,0.010038289241492748,0.010038289241492748,1.0322640946469619e-06,1.1077698758299448e-09,1.031156102726527e-06,0.0025596856139600277,7.069655225677707e-07,2.488989593985025e-05,,,735
,,,,,,,,,,,0.0005,736
16,0.012102182023227215,0.01003845501691103,0.01003845501691103,1.4338926348500536e-06,8.89542273174726e-10,1.4330032627185574e-06,0.002062292769551277,5.435213097371161e-07,2.0079411115148105e-05,,,781
,,,,,,,,,,,0.0005,782
17,0.011336352676153183,0.010038523003458977,0.010038523003458977,1.93568371287256e-06,7.932942636124096e-10,1.9348901787452633e-06,0.0012958940351381898,4.711665724244085e-07,1.2487774256442208e-05,,,827
,,,,,,,,,,,0.0005,828
18,0.01124468632042408,0.010038561187684536,0.010038561187684536,1.6415232266808744e-06,7.475511876187113e-10,1.6407758494096925e-06,0.0012044825125485659,4.385134957374248e-07,1.1606310181377921e-05,,,873
,,,,,,,,,,,0.0005,874
19,0.011163229122757912,0.010038603097200394,0.010038603097200394,1.2403912705849507e-06,7.02898850235556e-10,1.2396885722409934e-06,0.0011233830591663718,4.0667876533007075e-07,1.0827151527337264e-05,,,919
,,,,,,,,,,,0.0005,920
20,0.011115653440356255,0.010038647800683975,0.010038647800683975,9.777359082363546e-07,6.572264399373751e-10,9.770789120011614e-07,0.0010760276345536113,3.7425041909955326e-07,1.0386024769104552e-05,,,965
,,,,,,,,,,,0.0005,966
21,0.011071665212512016,0.01003869716078043,0.01003869716078043,7.391404892587161e-07,6.106593009036487e-10,7.385298204098945e-07,0.0010322306770831347,3.413852880385093e-07,9.980921277019661e-06,,,1011
,,,,,,,,,,,0.0005,1012
22,0.011060203425586224,0.010038749314844608,0.010038749314844608,6.045154918865592e-07,5.619923415522976e-10,6.039531967871881e-07,0.0010208489838987589,3.0723563781975827e-07,9.901254088617861e-06,,,1057
,,,,,,,,,,,0.0005,1058
23,0.011051887646317482,0.010038808919489384,0.010038808919489384,5.596288019660278e-07,5.099710653766465e-10,5.591188028120087e-07,0.00101252063177526,2.7100210786557e-07,9.854204108705744e-06,,,1103
,,,,,,,,,,,0.0005,1104
24,0.010917522013187408,0.010038880631327629,0.010038880631327629,5.796567279503506e-07,4.534723707649846e-10,5.792031743112602e-07,0.0008780587231740355,2.3141431881867902e-07,8.549171980121173e-06,,,1149
,,,,,,,,,,,0.0005,1150
25,0.010688640177249908,0.010038930922746658,0.010038930922746658,5.451809670375951e-07,4.1611153411835744e-10,5.447647595246963e-07,0.0006491648964583874,2.0545375889469142e-07,6.286195002758177e-06,,,1195
,,,,,,,,,,,0.0005,1196
26,0.010683851316571236,0.010038969106972218,0.010038969106972218,4.5319993091652577e-07,3.874524867608642e-10,4.528124861735705e-07,0.0006444279570132494,1.8643653731942322e-07,6.257842869672459e-06,,,1241
,,,,,,,,,,,0.0005,1242
27,0.010692697018384933,0.010039015673100948,0.010039015673100948,4.226867531542666e-07,3.5678224263868685e-10,4.223300322792056e-07,0.0006532567203976214,1.661431809907299e-07,6.366425168380374e-06,,,1287
,,,,,,,,,,,0.0005,1288
28,0.01058276742696762,0.010039066895842552,0.010039066895842552,3.856245882616349e-07,3.2435670815900153e-10,3.853001828701963e-07,0.0005433129845187068,1.4472196596670983e-07,5.288407010084484e-06,,,1333
,,,,,,,,,,,0.0005,1334
29,0.010542837902903557,0.010039106011390686,0.010039106011390686,3.528472518610215e-07,2.9990260275170044e-10,3.5254731756140245e-07,0.0005033760098740458,1.288937028220971e-07,4.904867637378629e-06,,,1379
,,,,,,,,,,,0.0005,1380
30,0.010451403446495533,0.010039151646196842,0.010039151646196842,3.4687522543208615e-07,2.759836803534199e-10,3.465991369466792e-07,0.00041190351475961506,1.1349147399641879e-07,4.005544269602979e-06,,,1425
,,,,,,,,,,,0.0005,1426
