epoch,loss,loss/Rt,loss/data,loss/res,loss/sigma,lr,step
,,,,,,0.0005,0
0,469.8409118652344,3.283820629119873,467.9358215332031,1.9048951864242554,0.04377419129014015,,59
,,,,,,0.0005,60
1,13.920998573303223,3.264892339706421,13.901209831237793,0.019794723019003868,0.0155869759619236,,119
,,,,,,0.0005,120
2,3.678947925567627,3.4183757305145264,3.675769567489624,0.0031779606360942125,0.01630404219031334,,179
,,,,,,0.0005,180
3,2.6762990951538086,3.3017125129699707,2.6758594512939453,0.0004392659175209701,0.020517610013484955,,239
,,,,,,0.0005,240
4,2.585784673690796,3.3140130043029785,2.5854806900024414,0.00030366721330210567,0.030913323163986206,,299
,,,,,,0.0005,300
5,2.435181140899658,3.1201388835906982,2.435157299041748,2.365064574405551e-05,0.03992977738380432,,359
,,,,,,0.0005,360
6,2.3668065071105957,3.0822341442108154,2.3667855262756348,2.1212919818935916e-05,0.055126484483480453,,419
,,,,,,0.0005,420
7,2.3319411277770996,3.032263994216919,2.3319201469421387,2.161710654036142e-05,0.0662865936756134,,479
,,,,,,0.0005,480
8,2.2991421222686768,2.992216110229492,2.2991249561309814,1.6798674550955184e-05,0.07920538634061813,,539
,,,,,,0.0005,540
9,2.288872003555298,2.9626102447509766,2.288860321044922,1.1476337022031657e-05,0.08527734875679016,,599
,,,,,,0.0005,600
10,2.2782020568847656,2.9399406909942627,2.2781951427459717,7.225108674902003e-06,0.09230583906173706,,659
,,,,,,0.0005,660
11,2.27152681350708,2.9218640327453613,2.271522283554077,4.707265816250583e-06,0.0991654023528099,,719
,,,,,,0.0005,720
12,2.2677626609802246,2.9052672386169434,2.267759084701538,2.7743606096919393e-06,0.10280747711658478,,779
,,,,,,0.0005,780
13,2.26503586769104,2.891190528869629,2.2650339603424072,1.609368609933881e-06,0.10712321847677231,,839
,,,,,,0.0005,840
14,2.2632334232330322,2.8788793087005615,2.263232469558716,8.359332355212246e-07,0.10938254743814468,,899
,,,,,,0.0005,900
15,2.2611968517303467,2.869401454925537,2.2611966133117676,4.281490362245677e-07,0.11278579384088516,,959
,,,,,,0.0005,960
16,2.2598345279693604,2.8617703914642334,2.2598345279693604,2.0694059799097886e-07,0.11491291970014572,,1019
,,,,,,0.0005,1020
17,2.2589595317840576,2.8562419414520264,2.2589592933654785,1.0660672700169016e-07,0.11748888343572617,,1079
,,,,,,0.0005,1080
18,2.2585201263427734,2.852116107940674,2.2585201263427734,5.4546049454984313e-08,0.11986386030912399,,1139
,,,,,,0.0005,1140
19,2.2583446502685547,2.8497121334075928,2.2583446502685547,4.456166990962629e-08,0.12326785176992416,,1199
,,,,,,0.0005,1200
20,2.2589609622955322,2.847728729248047,2.258960723876953,4.004676412705521e-08,0.12621818482875824,,1259
,,,,,,0.0005,1260
21,2.2593538761138916,2.845289945602417,2.2593538761138916,2.0489361318709598e-08,0.12680776417255402,,1319
,,,,,,0.0005,1320
22,2.259382963180542,2.8448476791381836,2.259382963180542,5.4412375050105766e-08,0.12762023508548737,,1379
,,,,,,0.0005,1380
23,2.2595460414886475,2.840017557144165,2.2595460414886475,9.330482164671139e-09,0.12852022051811218,,1439
,,,,,,0.0005,1440
24,2.2590105533599854,2.8399932384490967,2.2590105533599854,7.536462121038312e-09,0.12859413027763367,,1499
,,,,,,0.0005,1500
25,2.259634017944336,2.843186855316162,2.259634017944336,1.5983286516529915e-07,0.12950901687145233,,1559
,,,,,,0.0005,1560
26,2.258873224258423,2.8370015621185303,2.258873224258423,1.7695624521252284e-08,0.13115963339805603,,1619
,,,,,,0.0005,1620
27,2.25872802734375,2.8370280265808105,2.25872802734375,1.888890377443886e-09,0.1327657848596573,,1679
,,,,,,0.0005,1680
28,2.2597408294677734,2.8402292728424072,2.2597408294677734,5.4433165530554106e-08,0.13486622273921967,,1739
,,,,,,0.0005,1740
29,2.2579846382141113,2.838754892349243,2.2579843997955322,9.037097292718954e-09,0.13629063963890076,,1799
,,,,,,0.0005,1800
30,2.259239912033081,2.835644483566284,2.2592391967773438,8.973350986707374e-07,0.1371639370918274,,1859
,,,,,,0.0005,1860
31,2.2617571353912354,2.833366632461548,2.2617568969726562,6.765150661891539e-09,0.13917851448059082,,1919
,,,,,,0.0005,1920
32,2.261373519897461,2.8370795249938965,2.261373519897461,1.4417512739228755e-09,0.13879287242889404,,1979
,,,,,,0.0005,1980
33,2.2631256580352783,2.836601495742798,2.2631256580352783,9.178087179151362e-10,0.13722559809684753,,2039
,,,,,,0.0005,2040
34,2.2601819038391113,2.837658643722534,2.2601819038391113,9.431129210923928e-10,0.13889352977275848,,2099
,,,,,,0.0005,2100
35,2.2588300704956055,2.8378138542175293,2.2588300704956055,8.601000467400866e-10,0.14054615795612335,,2159
,,,,,,0.0005,2160
36,2.2584152221679688,2.841531276702881,2.2584152221679688,3.188811703580541e-08,0.1425115466117859,,2219
,,,,,,0.0005,2220
37,2.256781816482544,2.8388915061950684,2.256781816482544,1.2086796452592807e-08,0.14297086000442505,,2279
,,,,,,0.0005,2280
38,2.2578396797180176,2.843006134033203,2.2578394412994385,1.1975876645919925e-07,0.14258264005184174,,2339
,,,,,,0.0005,2340
39,2.2606101036071777,2.834085702896118,2.2606101036071777,2.159788259348261e-08,0.14230453968048096,,2399
,,,,,,0.0005,2400
40,2.2587850093841553,2.8364064693450928,2.2587850093841553,3.0505746817510726e-09,0.14187869429588318,,2459
,,,,,,0.0005,2460
41,2.2601940631866455,2.8360588550567627,2.2601938247680664,1.4745986653963428e-09,0.14212845265865326,,2519
,,,,,,0.0005,2520
