epoch,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,step
,,,,,,,,,,,0.0005,0
0,4993.912109375,0.08892185240983963,0.08892185240983963,0.709214448928833,0.1340475082397461,0.5751670002937317,4993.11376953125,10.006197929382324,39.92495346069336,,,45
,,,,,,,,,,,0.0005,46
1,0.8776353001594543,0.01004103571176529,0.01004103571176529,0.8629908561706543,2.4885250240913592e-05,0.8629659414291382,0.004603374283760786,1.3143962860340253e-05,3.288977677584626e-05,,,91
,,,,,,,,,,,0.0005,92
2,0.331306517124176,0.010034982115030289,0.010034982115030289,0.06791242212057114,1.205428219464011e-07,0.06791231036186218,0.2533591091632843,1.9815846826531924e-05,0.0025137749034911394,,,137
,,,,,,,,,,,0.0005,138
3,0.12462714314460754,0.010035647079348564,0.010035647079348564,0.0001857646566350013,1.8758591124878876e-08,0.00018574589921627194,0.11440575867891312,4.859312412008876e-06,0.0011391983134672046,,,183
,,,,,,,,,,,0.0005,184
4,0.06429245322942734,0.010035897605121136,0.010035897605121136,0.0002907927264459431,7.239253640989318e-09,0.0002907854795921594,0.05396577715873718,1.6351718841178808e-06,0.0005380224902182817,,,229
,,,,,,,,,,,0.0005,230
5,0.0330197848379612,0.010036101564764977,0.010036101564764977,0.00013039415352977812,3.993040564864714e-09,0.0001303901372011751,0.022853288799524307,8.392493668907264e-07,0.00022769365750718862,,,275
,,,,,,,,,,,0.0005,276
6,0.03100409172475338,0.010036196559667587,0.010036196559667587,2.3789660190232098e-05,2.993389536243285e-09,2.378666977165267e-05,0.020944107323884964,6.139396759863303e-07,0.00020882714306935668,,,321
,,,,,,,,,,,0.0005,322
7,0.024665679782629013,0.010036288760602474,0.010036288760602474,3.845516766887158e-05,2.267678267386941e-09,3.8452897570095956e-05,0.014590936712920666,4.442738088528131e-07,0.00014546510647051036,,,367
,,,,,,,,,,,0.0005,368
8,0.018501032143831253,0.01003639679402113,0.01003639679402113,1.690544195298571e-05,1.653486680908145e-09,1.690378485363908e-05,0.008447730913758278,3.113131583631912e-07,8.416599303018302e-05,,,413
,,,,,,,,,,,0.0005,414
9,0.018233463168144226,0.010036454536020756,0.010036454536020756,2.6533392883720808e-05,1.3456052938565222e-09,2.6532046831562184e-05,0.008170475251972675,2.4501858320036263e-07,8.145972969941795e-05,,,459
,,,,,,,,,,,0.0005,460
10,0.017779285088181496,0.010036502033472061,0.010036502033472061,1.3600325473817065e-05,1.160722296056349e-09,1.3599164049082901e-05,0.007729183882474899,2.0797138233774604e-07,7.708385237492621e-05,,,505
,,,,,,,,,,,0.0005,506
11,0.014541077427566051,0.010036558844149113,0.010036558844149113,1.2044358300045133e-05,9.724363536633973e-10,1.2043386959703639e-05,0.004492472857236862,1.696899118996953e-07,4.475503374123946e-05,,,551
,,,,,,,,,,,0.0005,552
12,0.01475544273853302,0.010036619380116463,0.010036619380116463,1.0061577086162288e-05,8.076974089554767e-10,1.0060771273856517e-05,0.004708761349320412,1.3784215013856738e-07,4.694977178587578e-05,,,597
,,,,,,,,,,,0.0005,598
13,0.012717952951788902,0.01003667525947094,0.01003667525947094,1.4951730918255635e-05,6.774879546256329e-10,1.4951052435208112e-05,0.002666325308382511,1.1255551868316616e-07,2.6550700567895547e-05,,,643
,,,,,,,,,,,0.0005,644
14,0.012132839299738407,0.010036734864115715,0.010036734864115715,1.6981493899947964e-05,5.607379560679249e-10,1.6980930013232864e-05,0.00207912246696651,9.083106533580576e-08,2.070039408863522e-05,,,689
,,,,,,,,,,,0.0005,690
15,0.010875169187784195,0.010036800988018513,0.010036800988018513,1.7301766774835414e-06,4.5363832135159043e-10,1.7297229533141945e-06,0.0008366379770450294,7.138750390822679e-08,8.294990948343184e-06,,,735
,,,,,,,,,,,0.0005,736
16,0.01089271530508995,0.010036854073405266,0.010036854073405266,1.693179115136445e-06,3.817694493868373e-10,1.6927974684222136e-06,0.0008541703573428094,5.867861929687024e-08,8.483024430461228e-06,,,781
,,,,,,,,,,,0.0005,782
17,0.010595968924462795,0.010036895982921124,0.010036895982921124,1.159524686045188e-06,3.292270900345784e-10,1.159195107902633e-06,0.000557911058422178,4.959917632163524e-08,5.529511327040382e-06,,,827
,,,,,,,,,,,0.0005,828
18,0.01039802748709917,0.01003694161772728,0.01003694161772728,7.082785487000365e-07,2.84574974696028e-10,7.079938768583816e-07,0.000360379577614367,4.204710535304912e-08,3.5617488265415886e-06,,,873
,,,,,,,,,,,0.0005,874
19,0.010066920891404152,0.010036996565759182,0.010036996565759182,3.8407556246511376e-08,2.364600459880961e-10,3.817110183490513e-08,2.9885908588767052e-05,3.4059265630048685e-08,2.647997803251201e-07,,,919
,,,,,,,,,,,0.0005,920
20,0.010047219693660736,0.010037049651145935,0.010037049651145935,3.5775769013923764e-09,1.956687450954675e-10,3.3819085309971797e-09,1.0165659659833182e-05,2.7429594595673734e-08,7.422695347258923e-08,,,965
,,,,,,,,,,,0.0005,966
21,0.010045218281447887,0.010037091560661793,0.010037091560661793,2.1727946108995866e-09,1.6723439300037057e-10,2.0055603844326697e-09,8.122813596855849e-06,2.2947659772398765e-08,5.82804773330281e-08,,,1011
,,,,,,,,,,,0.0005,1012
22,0.010044369846582413,0.010037126019597054,0.010037126019597054,2.1293689034251884e-09,1.4645534784918368e-10,1.982913389042551e-09,7.240819286380429e-06,1.970453311628262e-08,5.2703668984577234e-08,,,1057
,,,,,,,,,,,0.0005,1058
