epoch,loss,loss/data,loss/ic,loss/res,loss/smma,lr,step
,,,,,,0.0005,1150
25,0.01687612012028694,0.016460102051496506,0.00034279280225746334,7.322193414438516e-05,,,1195
,,,,,,0.0005,1196
26,0.016538899391889572,0.01619185507297516,0.0002149810898117721,0.00013207067968323827,,,1241
,,,,,,0.0005,1242
27,0.01616012491285801,0.015716595575213432,0.00019212867482565343,0.0002513979561626911,,,1287
,,,,,,0.0005,1288
28,0.015788685530424118,0.015201117843389511,0.0001949440047610551,0.00039262050995603204,,,1333
,,,,,,0.0005,1334
29,0.01551350299268961,0.014881875365972519,0.00017661607125774026,0.00045501755084842443,,,1379
,,,,,,0.0005,1380
30,0.015407003462314606,0.014713333919644356,0.00019002056797035038,0.000503649702295661,,,1425
,,,,,,0.0005,1426
31,0.014829314313828945,0.014347255229949951,0.0002309690898982808,0.0002510931226424873,,,1471
,,,,,,0.0005,1472
32,0.013857809826731682,0.013402276672422886,0.0002071807102765888,0.00024835162912495434,,,1517
,,,,,,0.0005,1518
33,0.013149132952094078,0.012664216570556164,0.0001795336720533669,0.00030538157443515956,,,1563
,,,,,,0.0005,1564
34,0.01270166877657175,0.012170054949820042,0.0001737847487675026,0.00035782778286375105,,,1609
,,,,,,0.0005,1610
35,0.01237760204821825,0.011816701851785183,0.00017553837096784264,0.000385361461667344,,,1655
,,,,,,0.0005,1656
36,0.012126900255680084,0.011562827043235302,0.00016173608310054988,0.00040233932668343186,,,1701
,,,,,,0.0005,1702
37,0.01190301962196827,0.011344251222908497,0.00014927958545740694,0.000409489031881094,,,1747
,,,,,,0.0005,1748
38,0.01170461904257536,0.01114813145250082,0.00014117227692622691,0.00041531346505507827,,,1793
,,,,,,0.0005,1794
39,0.011507753282785416,0.010959156788885593,0.0001335091219516471,0.0004150905297137797,,,1839
,,,,,,0.0005,1840
40,0.011322802864015102,0.010781214572489262,0.00012598310422617942,0.0004156052600592375,,,1885
,,,,,,0.0005,1886
41,0.011137865483760834,0.010601945221424103,0.00012142554624006152,0.00041449852869845927,,,1931
,,,,,,0.0005,1932
42,0.010971692390739918,0.010441438294947147,0.00011458035442046821,0.00041567342123016715,,,1977
,,,,,,0.0005,1978
43,0.010797538794577122,0.010271082632243633,0.00010991533054038882,0.00041654048254713416,,,2023
,,,,,,0.0005,2024
44,0.010639366693794727,0.010117417201399803,0.00010306645708624274,0.0004188846505712718,,,2069
,,,,,,0.0005,2070
45,0.01048483420163393,0.00996533501893282,9.679613867774606e-05,0.00042270083213225007,,,2115
,,,,,,0.0005,2116
46,0.01033475250005722,0.009816131554543972,9.065415360964835e-05,0.00042796620982699096,,,2161
,,,,,,0.0005,2162
47,0.010195787064731121,0.009677363559603691,8.485083526466042e-05,0.0004335722478572279,,,2207
,,,,,,0.0005,2208
48,0.010057387873530388,0.009540625847876072,7.958913192851469e-05,0.00043717192602343857,,,2253
,,,,,,0.0005,2254
49,0.009925003163516521,0.00940808467566967,7.428406388498843e-05,0.0004426363157108426,,,2299
,,,,,,0.0005,2300
50,0.009796177968382835,0.009274774231016636,7.104274118319154e-05,0.000450366671429947,,,2345
,,,,,,0.0005,2346
51,0.009682350791990757,0.009149943478405476,7.250059570651501e-05,0.00045990743092261255,,,2391
,,,,,,0.0005,2392
52,0.00956620555371046,0.009042934514582157,6.275241321418434e-05,0.0004605174472089857,0.058773502707481384,,2437
,,,,,,0.0005,2438
53,0.00945539865642786,0.008923271670937538,6.457076233346015e-05,0.0004675554810091853,0.05778714269399643,,2483
,,,,,,0.0005,2484
54,0.009345775470137596,0.008817744441330433,5.7197310525225475e-05,0.0004708346095867455,0.056818313896656036,,2529
,,,,,,0.0005,2530
55,0.009240813553333282,0.008706541731953621,5.8648118283599615e-05,0.00047562422696501017,0.05586676299571991,,2575
,,,,,,0.0005,2576
56,0.009133252315223217,0.008605859242379665,4.9915091949515045e-05,0.00047747965436428785,0.05493209511041641,,2621
,,,,,,0.0005,2622
57,0.009033028967678547,0.0084935138002038,5.561178841162473e-05,0.0004839044122491032,0.054014112800359726,,2667
,,,,,,0.0005,2668
58,0.008926701731979847,0.008397936820983887,4.354375050752424e-05,0.0004852221754845232,0.05311236530542374,,2713
,,,,,,0.0005,2714
59,0.008828605525195599,0.00828853901475668,4.9448692152509466e-05,0.0004906159592792392,0.05222668871283531,,2759
,,,,,,0.0005,2760
60,0.008725297637283802,0.008192582987248898,3.95867828046903e-05,0.0004931276198476553,0.051356662064790726,,2805
,,,,,,0.0005,2806
61,0.008631601929664612,0.008091584779322147,4.523417374002747e-05,0.0004947797860950232,0.05050215870141983,,2851
,,,,,,0.0005,2852
62,0.008527882397174835,0.007994950748980045,3.574283982743509e-05,0.0004971865564584732,0.04966267570853233,,2897
,,,,,,0.0005,2898
63,0.008432906121015549,0.007896495051681995,3.952302722609602e-05,0.0004968902212567627,0.04883807897567749,,2943
,,,,,,0.0005,2944
64,0.008329368196427822,0.007797539699822664,3.3025717129930854e-05,0.0004988019936718047,0.04802790656685829,,2989
,,,,,,0.0005,2990
65,0.008228139020502567,0.007697293534874916,3.4349730412941426e-05,0.0004964962718077004,0.04723190888762474,,3035
,,,,,,0.0005,3036
66,0.008117780089378357,0.0075922682881355286,2.9500664822990075e-05,0.0004960118094459176,0.046449627727270126,,3081
,,,,,,0.0005,3082
67,0.008000236004590988,0.007484517525881529,2.8601541998796165e-05,0.0004871152341365814,0.045680638402700424,,3127
,,,,,,0.0005,3128
68,0.007870007306337357,0.007371582556515932,2.6124256692128256e-05,0.00047230281052179635,0.044924426823854446,,3173
,,,,,,0.0005,3174
69,0.0077248853631317616,0.007249320391565561,2.634077645780053e-05,0.0004492249572649598,0.044180434197187424,,3219
,,,,,,0.0005,3220
70,0.0075701200403273106,0.007112428545951843,2.6204143068753183e-05,0.00043148797703906894,0.043448228389024734,,3265
,,,,,,0.0005,3266
71,0.007412619423121214,0.006959905382245779,2.7355366910342127e-05,0.00042535693501122296,0.0427275188267231,,3311
,,,,,,0.0005,3312
72,0.007259713020175695,0.006803113967180252,2.540139939810615e-05,0.0004311966185923666,0.042018160223960876,,3357
,,,,,,0.0005,3358
73,0.007128524594008923,0.00666569359600544,2.5045868824236095e-05,0.00043778796680271626,0.04132036864757538,,3403
,,,,,,0.0005,3404
74,0.006989295594394207,0.0065169017761945724,2.92509539576713e-05,0.0004431426932569593,0.04063374549150467,,3449
,,,,,,0.0005,3450
75,0.006895771250128746,0.006370338145643473,8.089796028798446e-05,0.00044453516602516174,0.03995898738503456,,3495
,,,,,,0.0005,3496
76,0.006718100979924202,0.006246192846447229,2.1879284759052098e-05,0.00045003031846135855,0.03929416835308075,,3541
,,,,,,0.0005,3542
77,0.006573894526809454,0.006109506823122501,3.3857315429486334e-05,0.0004305304610170424,0.03863976523280144,,3587
,,,,,,0.0005,3588
78,0.006420310121029615,0.00597081333398819,4.463861114345491e-05,0.0004048576229251921,0.03799537569284439,,3633
,,,,,,0.0005,3634
79,0.006231897044926882,0.005803505424410105,3.0182936825440265e-05,0.00039820862002670765,0.03736010566353798,,3679
,,,,,,0.0005,3680
80,0.006082178559154272,0.0056370156817138195,2.6725751013145782e-05,0.00041843700455501676,0.03673454746603966,,3725
,,,,,,0.0005,3726
81,0.005934135988354683,0.005463141016662121,1.7614402167964727e-05,0.00045337987830862403,0.036118537187576294,,3771
,,,,,,0.0005,3772
82,0.005832022521644831,0.005329908337444067,1.2163002793386113e-05,0.0004899499472230673,0.035512808710336685,,3817
,,,,,,0.0005,3818
83,0.005737303290516138,0.005251563154160976,1.4160475984681398e-05,0.0004715798713732511,0.03491729870438576,,3863
,,,,,,0.0005,3864
84,0.005629642866551876,0.005145341623574495,1.6914724255912006e-05,0.000467385834781453,0.0343315452337265,,3909
,,,,,,0.0005,3910
85,0.005526395048946142,0.005053946748375893,1.8242184523842297e-05,0.00045420610695146024,0.03375544399023056,,3955
,,,,,,0.0005,3956
86,0.005395879503339529,0.004946272820234299,1.624565447855275e-05,0.0004333623219281435,0.03318824991583824,,4001
,,,,,,0.0005,4002
87,0.0052690752781927586,0.004828058648854494,1.5181984963419382e-05,0.00042583441245369613,0.032629866153001785,,4047
,,,,,,0.0005,4048
88,0.005152154713869095,0.00467067863792181,2.87919810944004e-05,0.00045268514077179134,0.032080311328172684,,4093
,,,,,,0.0005,4094
89,0.005089625716209412,0.00461611058562994,3.0319642974063754e-05,0.0004431955167092383,0.03154049813747406,,4139
,,,,,,0.0005,4140
90,0.0049336738884449005,0.0044823307543993,2.466473961248994e-05,0.0004266784817446023,0.031008362770080566,,4185
,,,,,,0.0005,4186
91,0.004850624594837427,0.0044058822095394135,3.4544646041467786e-05,0.00041019872878678143,0.030485209077596664,,4231
,,,,,,0.0005,4232
92,0.004620308987796307,0.004310914780944586,7.287083917617565e-06,0.0003021081502083689,0.029967909678816795,,4277
,,,,,,0.0005,4278
93,0.004504556301981211,0.004184584598988295,2.1495479813893326e-05,0.00029847549740225077,0.02945864386856556,,4323
,,,,,,0.0005,4324
94,0.004358271136879921,0.004011053126305342,3.94999842683319e-05,0.0003077179426327348,0.028956634923815727,,4369
,,,,,,0.0005,4370
95,0.0043417965061962605,0.0039000946562737226,0.00010617539373924956,0.0003355272638145834,0.028464339673519135,,4415
,,,,,,0.0005,4416
96,0.004963910672813654,0.0037134510930627584,0.0009074051631614566,0.0003430558426771313,0.02799433097243309,,4461
,,,,,,0.0005,4462
97,0.004036725498735905,0.0035353382118046284,0.00021180858311709017,0.0002895768266171217,0.02751517854630947,,4507
,,,,,,0.0005,4508
98,0.003935871180146933,0.0035657568369060755,1.305297246290138e-05,0.00035706168273463845,0.027043592184782028,,4553
,,,,,,0.0005,4554
99,0.0038851925637573004,0.0035499311052262783,7.444950369972503e-06,0.00032781605841591954,0.02658042497932911,,4599
