epoch,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,step
,,,,,,,,,,,0.0005,0
0,2.4020211696624756,0.28433242440223694,0.28433242440223694,0.4146060347557068,0.28849729895591736,0.12610875070095062,1.703082799911499,0.007172326557338238,0.009858502075076103,,,45
,,,,,,,,,,,0.0005,46
1,0.0468243844807148,0.015317237004637718,0.015317237004637718,0.02450789138674736,0.009842599742114544,0.014665293507277966,0.006999254692345858,1.547171086713206e-05,5.4520834964932874e-05,,,91
,,,,,,,,,,,0.0005,92
2,0.012542258948087692,0.007743009366095066,0.007743009366095066,0.0009353364002890885,0.000857065839227289,7.827060471754521e-05,0.0038639139384031296,2.101573954860214e-06,3.653757448773831e-05,,,137
,,,,,,,,,,,0.0005,138
3,0.011545716784894466,0.007853768765926361,0.007853768765926361,0.0007268022745847702,0.0007141808164305985,1.2621540008694865e-05,0.0029651448130607605,1.7081125633922056e-06,2.794333704514429e-05,,,183
,,,,,,,,,,,0.0005,184
4,0.011191625148057938,0.007975401356816292,0.007975401356816292,0.0006137005984783173,0.0006057447171770036,7.955822184158023e-06,0.0026025238912552595,1.6719120594643755e-06,2.435333044559229e-05,,,229
,,,,,,,,,,,0.0005,230
5,0.010944420471787453,0.008070469833910465,0.008070469833910465,0.0005416666972450912,0.0005354271270334721,6.239456070034066e-06,0.0023322831839323044,1.4135512174107134e-06,2.1909278075327165e-05,,,275
,,,,,,,,,,,0.0005,276
6,0.010774854570627213,0.008169927634298801,0.008169927634298801,0.00048367667477577925,0.0004790588573087007,4.617876129486831e-06,0.0021212489809840918,1.3155720353097422e-06,1.9896924641216174e-05,,,321
,,,,,,,,,,,0.0005,322
7,0.010658618994057178,0.008238835260272026,0.008238835260272026,0.00043202118831686676,0.0004282126319594681,3.808517249126453e-06,0.0019877608865499496,1.7394163478456903e-06,1.8138194718630984e-05,,,367
,,,,,,,,,,,0.0005,368
8,0.01112945843487978,0.008324729278683662,0.008324729278683662,0.0003180502390023321,0.000313936936436221,4.1133116610581055e-06,0.002486678771674633,3.2112670851347502e-06,2.165552541555371e-05,,,413
,,,,,,,,,,,0.0005,414
9,0.014841154217720032,0.008974803611636162,0.008974803611636162,0.00012771593173965812,0.000123212332255207,4.503620857576607e-06,0.0057386364787817,1.0437205446578446e-06,5.634265107801184e-05,,,459
,,,,,,,,,,,0.0005,460
10,0.022628135979175568,0.008595818653702736,0.008595818653702736,0.00023842020891606808,0.00018087828357238322,5.7541910791769624e-05,0.013793893158435822,3.992676738562295e-06,0.0001339462905889377,,,505
,,,,,,,,,,,0.0005,506
