epoch,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,params/beta,step
,,,,,,,,,,,0.0005,,828
18,0.009121760725975037,0.008529435843229294,0.008529435843229294,1.1187949894519988e-05,9.120738468482159e-06,2.0672130176535575e-06,0.0005811362061649561,2.4912794742704136e-06,3.3200835787283722e-06,,,0.3950161635875702,873
,,,,,,,,,,,0.0005,,874
19,0.009220806881785393,0.008249260485172272,0.008249260485172272,1.2136296390963253e-05,7.4783997661143076e-06,4.657898443838349e-06,0.000959410797804594,1.7439240309613524e-06,7.850183465052396e-06,,,0.3765658438205719,919
,,,,,,,,,,,0.0005,,920
20,0.008876393549144268,0.007997497916221619,0.007997497916221619,1.0333435966458637e-05,8.586034709878732e-06,1.7474025071351207e-06,0.0008685624343343079,1.7327233763353433e-06,6.952902822376927e-06,,,0.3646780550479889,965
,,,,,,,,,,,0.0005,,966
21,0.008687331341207027,0.00803818553686142,0.00803818553686142,1.0806089449033607e-05,8.650392373965587e-06,2.1556986666837474e-06,0.000638337864074856,2.1058176571386866e-06,4.277561401977437e-06,,,0.3485260009765625,1011
,,,,,,,,,,,0.0005,,1012
22,0.008536327630281448,0.008025395683944225,0.008025395683944225,9.420834430784453e-06,8.199195690394845e-06,1.2216389677632833e-06,0.0005015110364183784,1.2723800182357081e-06,3.742730314115761e-06,,,0.3325904309749603,1057
,,,,,,,,,,,0.0005,,1058
23,0.00840363372117281,0.007905327714979649,0.007905327714979649,9.971367944672238e-06,9.184303053189069e-06,7.87064891483169e-07,0.0004883322399109602,9.796076483326033e-07,3.903714514308376e-06,,,0.3198784291744232,1103
,,,,,,,,,,,0.0005,,1104
24,0.008323530666530132,0.007879679091274738,0.007879679091274738,9.17629040486645e-06,8.355536010640208e-06,8.2075598584197e-07,0.00043467743671499193,9.621705885365373e-07,3.3846044971141964e-06,,,0.3096453547477722,1149
,,,,,,,,,,,0.0005,,1150
25,0.008693263866007328,0.007766332011669874,0.007766332011669874,9.067877726920415e-06,7.280975296453107e-06,1.7869035673356848e-06,0.000917862809728831,5.180008884053677e-07,8.660629646328744e-06,,,0.30192941427230835,1195
,,,,,,,,,,,0.0005,,1196
26,0.008115499280393124,0.007845364511013031,0.007845364511013031,7.332992026931606e-06,7.042411652946612e-06,2.9057997608106234e-07,0.0002628033107612282,5.75304852645786e-07,2.0527286324067973e-06,,,0.2961989641189575,1241
,,,,,,,,,,,0.0005,,1242
27,0.008107518777251244,0.007716445717960596,0.007716445717960596,7.697351065871771e-06,7.152843409130583e-06,5.445086799227283e-07,0.0003833745722658932,8.361985806004668e-07,2.997546971528209e-06,,,0.2898080348968506,1287
,,,,,,,,,,,0.0005,,1288
28,0.008084298111498356,0.007744664791971445,0.007744664791971445,7.393803116428899e-06,6.736867817380698e-06,6.569364359165775e-07,0.0003322386182844639,7.033557949398528e-07,2.6190302833128953e-06,,,0.28404802083969116,1333
,,,,,,,,,,,0.0005,,1334
29,0.007999548688530922,0.007693287450820208,0.007693287450820208,6.602251232834533e-06,6.220311206561746e-06,3.8193962836885476e-07,0.00029965920839458704,7.35835101295379e-07,2.26075781029067e-06,,,0.27975454926490784,1379
,,,,,,,,,,,0.0005,,1380
30,0.007910412736237049,0.007616170682013035,0.007616170682013035,6.340438176266616e-06,5.883395260752877e-06,4.5704427975579165e-07,0.0002879011444747448,7.58536202738469e-07,2.1204757558734855e-06,,,0.2766186594963074,1425
,,,,,,,,,,,0.0005,,1426
31,0.007885809987783432,0.007613137364387512,0.007613137364387512,5.778462309535826e-06,5.44919157619006e-06,3.292710175628599e-07,0.0002668971719685942,7.31098282358289e-07,1.9378733213670785e-06,,,0.27424323558807373,1471
,,,,,,,,,,,0.0005,,1472
32,0.007795245852321386,0.007541801780462265,0.007541801780462265,5.230778697296046e-06,4.9947420848184265e-06,2.3603631404967018e-07,0.000248214288149029,7.407743396470323e-07,1.7413683508493705e-06,,,0.2726626992225647,1517
,,,,,,,,,,,0.0005,,1518
33,0.007731640245765448,0.00748572638258338,0.00748572638258338,4.738940333481878e-06,4.528861154540209e-06,2.1007879524859163e-07,0.00024117516295518726,8.091107588370505e-07,1.6026405091906781e-06,,,0.27150797843933105,1563
,,,,,,,,,,,0.0005,,1564
34,0.007704019080847502,0.00746489129960537,0.00746489129960537,4.388219622342149e-06,4.194665962131694e-06,1.9355289282430022e-07,0.00023473871988244355,7.791489906594506e-07,1.5682379626014153e-06,,,0.27098047733306885,1609
,,,,,,,,,,,0.0005,,1610
35,0.007639229763299227,0.0074012018740177155,0.0074012018740177155,3.971745627495693e-06,3.7751501622551586e-06,1.9659591998788528e-07,0.00023405648244079202,8.444728223366837e-07,1.4960920680096024e-06,,,0.270538866519928,1655
,,,,,,,,,,,0.0005,,1656
36,0.007640132214874029,0.007405959535390139,0.007405959535390139,3.7706938655901467e-06,3.5651785310619744e-06,2.055146950397102e-07,0.00023040188534650952,8.086822163022589e-07,1.4953366189729422e-06,,,0.27044448256492615,1701
,,,,,,,,,,,0.0005,,1702
37,0.007547173649072647,0.0073135606944561005,0.0073135606944561005,3.4576476082293084e-06,3.2492157515662257e-06,2.0843104664436396e-07,0.00023015571059659123,8.888164302334189e-07,1.4127409713182715e-06,,,0.27030834555625916,1747
,,,,,,,,,,,0.0005,,1748
38,0.007558015640825033,0.007335116155445576,0.007335116155445576,3.2905652460613055e-06,3.0789040010859026e-06,2.1166059127608605e-07,0.00021960942831356078,8.357337151210231e-07,1.3603606703327387e-06,,,0.2706126272678375,1793
,,,,,,,,,,,0.0005,,1794
39,0.007479488383978605,0.007250559516251087,0.007250559516251087,2.9801944947394077e-06,2.7753255835705204e-06,2.048692948619646e-07,0.00022594918846152723,9.112995371651778e-07,1.3481920859703678e-06,,,0.27082568407058716,1839
,,,,,,,,,,,0.0005,,1840
40,0.007489547599107027,0.007273751311004162,0.007273751311004162,2.8679933166131377e-06,2.672285745575209e-06,1.9570803999613418e-07,0.00021292819292284548,8.564053928239446e-07,1.2728767160297139e-06,,,0.27130353450775146,1885
,,,,,,,,,,,0.0005,,1886
41,0.0074334354139864445,0.0072065554559230804,0.0072065554559230804,2.6234231427224586e-06,2.4242581275757402e-06,1.9916488724902592e-07,0.00022425770293921232,9.302247008236009e-07,1.3123525377523038e-06,,,0.2716272175312042,1931
,,,,,,,,,,,0.0005,,1932
42,0.007449156604707241,0.00723852077499032,0.00723852077499032,2.564146825534408e-06,2.3814466203475604e-06,1.8269984991547972e-07,0.00020807287364732474,8.526031365363451e-07,1.2281254839763278e-06,,,0.27213189005851746,1977
,,,,,,,,,,,0.0005,,1978
43,0.007392639294266701,0.007168071810156107,0.007168071810156107,2.39254245570919e-06,2.1869207103009103e-06,2.0562086433528748e-07,0.00022217436344362795,9.456751399739005e-07,1.276068587685586e-06,,,0.2723780572414398,2023
,,,,,,,,,,,0.0005,,2024
44,0.007402053568512201,0.007196942809969187,0.007196942809969187,2.340257424293668e-06,2.1496300632861676e-06,1.9062753153775702e-07,0.00020277067960705608,8.48810941533884e-07,1.1788957863245741e-06,,,0.2728927731513977,2069
,,,,,,,,,,,0.0005,,2070
45,0.007372965570539236,0.007152467966079712,0.007152467966079712,2.196410378019209e-06,1.97504527932324e-06,2.2136457289434475e-07,0.00021830224432051182,9.316592581853911e-07,1.2513633009803016e-06,,,0.2730802297592163,2115
,,,,,,,,,,,0.0005,,2116
46,0.007386579178273678,0.007189033553004265,0.007189033553004265,2.1859657408640487e-06,1.9686799532792065e-06,2.172860860127912e-07,0.00019536123727448285,8.005038694136601e-07,1.1531084282978554e-06,,,0.27358049154281616,2161
,,,,,,,,,,,0.0005,,2162
