epoch,internal/smma_improvement,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,params/beta,step
31,,0.007524157874286175,0.007305565755814314,0.007305565755814314,4.360069851827575e-06,4.0747122511675116e-06,2.8535714591271244e-07,0.00021422999270725995,9.046472655427351e-07,1.2376524409773992e-06,,,0.2804390788078308,1471
,,,,,,,,,,,,0.0005,,1472
32,,0.007587595377117395,0.007338317576795816,0.007338317576795816,3.998180545750074e-06,3.6912711038894486e-06,3.069085892093426e-07,0.0002452792541589588,9.810939900489757e-07,1.4716986243001884e-06,,,0.27970612049102783,1517
,,,,,,,,,,,,0.0005,,1518
33,,0.007605765014886856,0.0073667727410793304,0.0073667727410793304,3.80645860786899e-06,3.477746304270113e-06,3.287124741291336e-07,0.00023518485249951482,8.81844528066722e-07,1.4700038946102723e-06,,,0.2792964577674866,1563
,,,,,,,,,,,,0.0005,,1564
34,,0.007536877412348986,0.007309235166758299,0.007309235166758299,3.5618329548015026e-06,3.2777832075225888e-06,2.840498041223327e-07,0.00022408136283047497,9.122755955104367e-07,1.3285376780913793e-06,,,0.2785390317440033,1609
,,,,,,,,,,,,0.0005,,1610
35,,0.007517545018345118,0.007291833404451609,0.007291833404451609,3.428604486543918e-06,3.153637180730584e-06,2.7496741950017167e-07,0.00022228184388950467,8.88145848421118e-07,1.334672560915351e-06,,,0.2781287431716919,1655
,,,,,,,,,,,,0.0005,,1656
36,,0.007450559176504612,0.007227135356515646,0.007227135356515646,3.2018665478972252e-06,2.9436566819640575e-06,2.582094680292357e-07,0.00022022031771484762,9.58870941758505e-07,1.2433322353899712e-06,,,0.2775387763977051,1701
,,,,,,,,,,,,0.0005,,1702
37,,0.0074552204459905624,0.007226644549518824,0.007226644549518824,3.0275361950771185e-06,2.7972671432507923e-06,2.3026933604342048e-07,0.00022554773022420704,8.69276163939503e-07,1.3862011201126734e-06,,,0.27756500244140625,1747
,,,,,,,,,,,,0.0005,,1748
38,,0.007386160083115101,0.007170710247009993,0.007170710247009993,2.9436455406539608e-06,2.6121053906535963e-06,3.315406047477154e-07,0.00021250752615742385,9.739223969518207e-07,1.1511531283758814e-06,,,0.27708882093429565,1793
,,,,,,,,,,,,0.0005,,1794
39,,0.007374912966042757,0.007160597946494818,0.007160597946494818,2.72006104751199e-06,2.437336661387235e-06,2.8272438612475526e-07,0.00021159558673389256,9.529234716865176e-07,1.1630324934230885e-06,,,0.2773168683052063,1839
,,,,,,,,,,,,0.0005,,1840
40,,0.0073485225439071655,0.007137041538953781,0.007137041538953781,2.62322896560363e-06,2.301561607964686e-06,3.216671302652685e-07,0.000208856028621085,9.62793023973063e-07,1.12576708488632e-06,,,0.2773861587047577,1885
,,,,,,,,,,,,0.0005,,1886
41,,0.007352358661592007,0.007132343016564846,0.007132343016564846,2.487818619556492e-06,2.168267656088574e-06,3.195513045284315e-07,0.00021752707834821194,9.748744105309015e-07,1.2003961273876484e-06,,,0.27752751111984253,1931
,,,,,,,,,,,,0.0005,,1932
42,,0.0073197209276258945,0.0070966859348118305,0.0070966859348118305,2.4392190880462294e-06,2.0530369511106983e-06,3.8618202324869344e-07,0.00022059523325879127,9.97982056105684e-07,1.2079702855771757e-06,,,0.27754610776901245,1977
,,,,,,,,,,,,0.0005,,1978
43,,0.007316510658711195,0.007099983282387257,0.007099983282387257,2.433577037663781e-06,1.9427056940912735e-06,4.908717983198585e-07,0.000214095925912261,9.34990850964823e-07,1.2059683740517357e-06,,,0.2777910530567169,2023
,,,,,,,,,,,,0.0005,,2024
44,,0.007296473253518343,0.007081521209329367,0.007081521209329367,2.343529331483296e-06,1.8345562011745642e-06,5.089731303087319e-07,0.000212609680602327,9.491758987678622e-07,1.1769205912059988e-06,,,0.27782323956489563,2069
,,,,,,,,,,,,0.0005,,2070
45,,0.007287506479769945,0.007083972450345755,0.007083972450345755,2.2552305836143205e-06,1.7683493069853284e-06,4.868819587500184e-07,0.00020127791503909975,9.013994031192851e-07,1.111379788198974e-06,,,0.27806174755096436,2115
,,,,,,,,,,,,0.0005,,2116
46,,0.007267533335834742,0.007059130351990461,0.007059130351990461,2.053629714282579e-06,1.6591517351116636e-06,3.9447772337553033e-07,0.00020634969405364245,9.373755460728717e-07,1.1261217878200114e-06,,,0.27812883257865906,2161
,,,,,,,,,,,,0.0005,,2162
47,,0.007278150413185358,0.007081980351358652,0.007081980351358652,2.0515888081718003e-06,1.6426871525254683e-06,4.0890145669436606e-07,0.00019411847461014986,8.344043180841254e-07,1.106780587178946e-06,,,0.27849364280700684,2207
,,,,,,,,,,,,0.0005,,2208
48,,0.007271613460034132,0.007047764491289854,0.007047764491289854,1.9604460703703808e-06,1.5062124703035806e-06,4.542335432233813e-07,0.00022188863658811897,9.892079333440051e-07,1.2296779914322542e-06,,,0.27810773253440857,2253
,,,,,,,,,,,,0.0005,,2254
49,,0.0072936504147946835,0.007099302485585213,0.007099302485585213,2.0235504507581936e-06,1.5658617940061959e-06,4.576883156914846e-07,0.0001923235977301374,7.579053544759518e-07,1.1653305591607932e-06,,,0.2787958085536957,2299
,,,,,,,,,,,,0.0005,,2300
