epoch,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,step
,,,,,,,,,,,0.0005,0
0,1.8998819589614868,0.07726158201694489,0.07726158201694489,0.36978426575660706,0.36978426575660706,0.36978426575660706,1.4528369903564453,1.4528369903564453,1.4528369903564453,,,45
,,,,,,,,,,,0.0005,46
1,0.021744703873991966,0.01801246963441372,0.01801246963441372,0.0009166575619019568,0.0009166575619019568,0.0009166575619019568,0.00281557347625494,0.00281557347625494,0.00281557347625494,,,91
,,,,,,,,,,,0.0005,92
2,0.01808164454996586,0.01807311549782753,0.01807311549782753,2.8914721497130813e-06,2.8914721497130813e-06,2.8914721497130813e-06,5.632145075651351e-06,5.632145075651351e-06,5.632145075651351e-06,,,137
,,,,,,,,,,,0.0005,138
3,0.018074674531817436,0.018070047721266747,0.018070047721266747,4.565393396660511e-07,4.565393396660511e-07,4.565393396660511e-07,4.167401129961945e-06,4.167401129961945e-06,4.167401129961945e-06,,,183
,,,,,,,,,,,0.0005,184
4,0.018070071935653687,0.018063850700855255,0.018063850700855255,6.361789814945951e-07,6.361789814945951e-07,6.361789814945951e-07,5.583416168519761e-06,5.583416168519761e-06,5.583416168519761e-06,,,229
,,,,,,,,,,,0.0005,230
5,0.018060822039842606,0.01805052161216736,0.01805052161216736,1.177093281512498e-06,1.177093281512498e-06,1.177093281512498e-06,9.113167834584601e-06,9.113167834584601e-06,9.113167834584601e-06,,,275
,,,,,,,,,,,0.0005,276
6,0.01803905889391899,0.018009351566433907,0.018009351566433907,4.022722805530066e-06,4.022722805530066e-06,4.022722805530066e-06,2.5679702957859263e-05,2.5679702957859263e-05,2.5679702957859263e-05,,,321
,,,,,,,,,,,0.0005,322
7,0.018025752156972885,0.017841028049588203,0.017841028049588203,2.0782797946594656e-05,2.0782797946594656e-05,2.0782797946594656e-05,0.0001639381516724825,0.0001639381516724825,0.0001639381516724825,,,367
,,,,,,,,,,,0.0005,368
8,0.018005583435297012,0.017943283542990685,0.017943283542990685,1.5102505130926147e-05,1.5102505130926147e-05,1.5102505130926147e-05,4.7196706873364747e-05,4.7196706873364747e-05,4.7196706873364747e-05,,,413
,,,,,,,,,,,0.0005,414
9,0.01797398179769516,0.01781226322054863,0.01781226322054863,3.18665370286908e-05,3.18665370286908e-05,3.18665370286908e-05,0.00012984425120521337,0.00012984425120521337,0.00012984425120521337,,,459
,,,,,,,,,,,0.0005,460
10,0.017970308661460876,0.01789936237037182,0.01789936237037182,3.073236075579189e-05,3.073236075579189e-05,3.073236075579189e-05,4.021722998004407e-05,4.021722998004407e-05,4.021722998004407e-05,,,505
,,,,,,,,,,,0.0005,506
11,0.01789853163063526,0.017504466697573662,0.017504466697573662,0.00012720788072329015,0.00012720788072329015,0.00012720788072329015,0.00026686821365728974,0.00026686821365728974,0.00026686821365728974,,,551
,,,,,,,,,,,0.0005,552
12,0.017878206446766853,0.017790643498301506,0.017790643498301506,6.612460128962994e-05,6.612460128962994e-05,6.612460128962994e-05,2.144041172869038e-05,2.144041172869038e-05,2.144041172869038e-05,,,597
,,,,,,,,,,,0.0005,598
13,0.017787737771868706,0.017458966001868248,0.017458966001868248,0.00025786011246964335,0.00025786011246964335,0.00025786011246964335,7.090801955200732e-05,7.090801955200732e-05,7.090801955200732e-05,,,643
,,,,,,,,,,,0.0005,644
14,0.017692536115646362,0.017537720501422882,0.017537720501422882,0.00013936181494500488,0.00013936181494500488,0.00013936181494500488,1.5449331840500236e-05,1.5449331840500236e-05,1.5449331840500236e-05,,,689
,,,,,,,,,,,0.0005,690
15,0.017592333257198334,0.017279746010899544,0.017279746010899544,0.0002628004876896739,0.0002628004876896739,0.0002628004876896739,4.979047298547812e-05,4.979047298547812e-05,4.979047298547812e-05,,,735
,,,,,,,,,,,0.0005,736
16,0.01749333180487156,0.01726027950644493,0.01726027950644493,0.00021160392498131841,0.00021160392498131841,0.00021160392498131841,2.1453013687278144e-05,2.1453013687278144e-05,2.1453013687278144e-05,,,781
,,,,,,,,,,,0.0005,782
17,0.017403466627001762,0.017083166167140007,0.017083166167140007,0.0002895101497415453,0.0002895101497415453,0.0002895101497415453,3.0788767617195845e-05,3.0788767617195845e-05,3.0788767617195845e-05,,,827
,,,,,,,,,,,0.0005,828
18,0.017320025712251663,0.017003750428557396,0.017003750428557396,0.00028886826476082206,0.00028886826476082206,0.00028886826476082206,2.7411359042162076e-05,2.7411359042162076e-05,2.7411359042162076e-05,,,873
,,,,,,,,,,,0.0005,874
19,0.017255790531635284,0.01691157929599285,0.01691157929599285,0.00031323713483288884,0.00031323713483288884,0.00031323713483288884,3.0971561500336975e-05,3.0971561500336975e-05,3.0971561500336975e-05,,,919
,,,,,,,,,,,0.0005,920
20,0.01715381070971489,0.016807015985250473,0.016807015985250473,0.0003079947200603783,0.0003079947200603783,0.0003079947200603783,3.880339136230759e-05,3.880339136230759e-05,3.880339136230759e-05,,,965
,,,,,,,,,,,0.0005,966
21,0.017056846991181374,0.016718661412596703,0.016718661412596703,0.000267294846707955,0.000267294846707955,0.000267294846707955,7.089276186889037e-05,7.089276186889037e-05,7.089276186889037e-05,,,1011
,,,,,,,,,,,0.0005,1012
