epoch,loss,loss/Rt,loss/data,loss/ic,loss/res,loss/sigma,lr,step
17,2.262010335922241,2.803509473800659,2.2620036602020264,6.27566987532191e-06,2.487704708897809e-09,0.08769092708826065,,1079
,,,,,,,0.0005,1080
18,2.263050079345703,2.802973985671997,2.2630441188812256,6.082987965783104e-06,2.615719862930632e-09,0.08832847326993942,,1139
,,,,,,,0.0005,1140
19,2.263815402984619,2.8026299476623535,2.263810157775879,5.984410108794691e-06,2.573602664313057e-09,0.08720093965530396,,1199
,,,,,,,0.0005,1200
20,2.2629668712615967,2.8024187088012695,2.26296067237854,6.043769644747954e-06,2.712370328339375e-09,0.08674958348274231,,1259
,,,,,,,0.0005,1260
21,2.2622077465057373,2.8021936416625977,2.2622013092041016,6.082619165681535e-06,2.768816953491182e-09,0.08705152571201324,,1319
,,,,,,,0.0005,1320
22,2.2618179321289062,2.801997184753418,2.2618119716644287,6.059891802578932e-06,2.8467892487782365e-09,0.08791965991258621,,1379
,,,,,,,0.0005,1380
23,2.2621426582336426,2.801809310913086,2.2621357440948486,6.0099064285168424e-06,2.8578361899178617e-09,0.08796893060207367,,1439
,,,,,,,0.0005,1440
24,2.2621943950653076,2.8015575408935547,2.262187957763672,5.9675940065062605e-06,2.9256712608116686e-09,0.08853383362293243,,1499
,,,,,,,0.0005,1500
25,2.262369394302368,2.8014185428619385,2.2623631954193115,5.960779162705876e-06,2.9394504608148964e-09,0.08786695450544357,,1559
,,,,,,,0.0005,1560
26,2.2620434761047363,2.801128625869751,2.262037515640259,6.014541213517077e-06,3.063292064453549e-09,0.0865604430437088,,1619
,,,,,,,0.0005,1620
27,2.2612524032592773,2.801010847091675,2.261246681213379,6.1119453675928526e-06,3.1239544284744625e-09,0.08620686084032059,,1679
,,,,,,,0.0005,1680
28,2.260714530944824,2.800828695297241,2.2607076168060303,6.135437160992296e-06,3.192296649245918e-09,0.0863616019487381,,1739
,,,,,,,0.0005,1740
29,2.2605576515197754,2.800711154937744,2.2605512142181396,6.1379760154522955e-06,3.18854431746729e-09,0.08647899329662323,,1799
,,,,,,,0.0005,1800
30,2.2604784965515137,2.8005192279815674,2.260472059249878,6.1061728047207e-06,3.2081792777916007e-09,0.08692172169685364,,1859
,,,,,,,0.0005,1860
31,2.260673999786377,2.800352096557617,2.2606680393218994,6.044955171091715e-06,3.121077174483844e-09,0.08795532584190369,,1919
,,,,,,,0.0005,1920
32,2.2613918781280518,2.800077199935913,2.261385440826416,5.9495218920346815e-06,3.068818754670133e-09,0.08774683624505997,,1979
,,,,,,,0.0005,1980
33,2.2615559101104736,2.799669027328491,2.261549711227417,5.930347924731905e-06,2.8554674180725215e-09,0.0872219055891037,,2039
,,,,,,,0.0005,2040
34,2.261240243911743,2.7989296913146973,2.2612342834472656,5.913578661420615e-06,3.141853888166679e-09,0.08721363544464111,,2099
,,,,,,,0.0005,2100
35,2.2610509395599365,2.797316312789917,2.2610456943511963,5.89157889407943e-06,4.8654991147145665e-09,0.08638759702444077,,2159
,,,,,,,0.0005,2160
36,2.26065993309021,2.793910503387451,2.2606537342071533,5.862305442860816e-06,1.2240381153105773e-08,0.08555770665407181,,2219
,,,,,,,0.0005,2220
37,2.260089635848999,2.7906296253204346,2.2600841522216797,5.835075626237085e-06,2.5917303858591367e-08,0.08560562878847122,,2279
,,,,,,,0.0005,2280
38,2.260268449783325,2.785134792327881,2.260263681411743,5.739976131735602e-06,6.51940368356918e-08,0.08555040508508682,,2339
,,,,,,,0.0005,2340
39,2.259591579437256,2.780151128768921,2.259584903717041,5.483530458150199e-06,1.0011952156219195e-07,0.08519531041383743,,2399
,,,,,,,0.0005,2400
40,2.29176926612854,2.7404372692108154,2.291764259338379,4.499381702771643e-06,8.900145189727482e-07,0.08517921715974808,,2459
,,,,,,,0.0005,2460
41,2.2600576877593994,2.7625555992126465,2.2600514888763428,5.122578386362875e-06,4.1218370938622684e-07,0.08523988723754883,,2519
,,,,,,,0.0005,2520
42,2.2643611431121826,2.7118825912475586,2.2643558979034424,3.953724899474764e-06,9.892788739307434e-07,0.08570875227451324,,2579
,,,,,,,0.0005,2580
43,2.261361598968506,2.6787657737731934,2.261357307434082,2.8795225262001622e-06,1.7090101209760178e-06,0.08606098592281342,,2639
,,,,,,,0.0005,2640
44,2.2642180919647217,2.6901252269744873,2.2642104625701904,2.384320623605163e-06,5.316133865562733e-06,0.08572261780500412,,2699
,,,,,,,0.0005,2700
45,2.2537293434143066,2.6515538692474365,2.253720283508301,1.6215013829423697e-06,7.346226084337104e-06,0.08551916480064392,,2759
,,,,,,,0.0005,2760
46,2.249504327774048,2.619370937347412,2.2494826316833496,1.0157137921851245e-06,2.0309784304117784e-05,0.08520214259624481,,2819
,,,,,,,0.0005,2820
47,2.2428252696990967,2.604762315750122,2.242793560028076,9.828212341744802e-07,3.06507499772124e-05,0.08507072180509567,,2879
,,,,,,,0.0005,2880
48,2.2306151390075684,2.609971761703491,2.2305727005004883,7.735839062661398e-07,4.1729697841219604e-05,0.08517219126224518,,2939
,,,,,,,0.0005,2940
49,2.227457284927368,2.5687310695648193,2.2273995876312256,7.384448963421164e-07,5.6499171478208154e-05,0.08515224605798721,,2999
,,,,,,,0.0005,3000
50,2.216616153717041,2.585263729095459,2.2165379524230957,7.046173777780496e-07,7.797518628649414e-05,0.08573762327432632,,3059
,,,,,,,0.0005,3060
51,2.2166993618011475,2.5291361808776855,2.2166354656219482,7.30065096377075e-07,6.35794349364005e-05,0.08536594361066818,,3119
,,,,,,,0.0005,3120
52,2.216505289077759,2.5877630710601807,2.216414213180542,6.449496936511423e-07,9.017903357744217e-05,0.08574356138706207,,3179
,,,,,,,0.0005,3180
53,2.2087950706481934,2.5070297718048096,2.2087149620056152,6.218299404281424e-07,7.917575567262247e-05,0.08543279767036438,,3239
,,,,,,,0.0005,3240
54,2.2097246646881104,2.5566608905792236,2.2096102237701416,5.917235625929607e-07,0.00011383160745026544,0.08636674284934998,,3299
,,,,,,,0.0005,3300
55,2.201205015182495,2.4926438331604004,2.2011020183563232,5.841108645654458e-07,0.00010304056922905147,0.0862816795706749,,3359
,,,,,,,0.0005,3360
56,2.204763412475586,2.569287061691284,2.204630136489868,5.874965722796333e-07,0.00013310708163771778,0.08866456151008606,,3419
,,,,,,,0.0005,3420
57,2.1944291591644287,2.503073215484619,2.194289207458496,5.252429104984913e-07,0.000139788375236094,0.0907323881983757,,3479
,,,,,,,0.0005,3480
58,2.192856550216675,2.4854774475097656,2.1926791667938232,5.292699825076852e-07,0.00017661972378846258,0.1002943143248558,,3539
,,,,,,,0.0005,3540
59,2.1953070163726807,2.4687983989715576,2.1951513290405273,4.269062401363044e-07,0.00015495491970796138,0.10806526988744736,,3599
,,,,,,,0.0005,3600
